Indicators,Year ,Month,Value
Airline Passengers,2015,3,94.24
Airline Passengers,2015,4,93.74
Airline Passengers,2015,5,93.37
Airline Passengers,2015,6,91.79
Airline Passengers,2015,7,94.09
Airline Passengers,2015,8,93.16
Airline Passengers,2015,9,93.65
Airline Passengers,2015,10,93.98
Airline Passengers,2015,11,94.6
Airline Passengers,2015,12,94.61
Airline Passengers,2016,1,94.71
Airline Passengers,2016,2,96.05
Airline Passengers,2016,3,94.17
Airline Passengers,2016,4,95.74
Airline Passengers,2016,5,95.13
Airline Passengers,2016,6,98.31
Airline Passengers,2016,7,96.6
Airline Passengers,2016,8,96.21
Airline Passengers,2016,9,102.31
Airline Passengers,2016,10,98.63
Airline Passengers,2016,11,100.01
Airline Passengers,2016,12,99.43
Airline Passengers,2017,1,96.35
Airline Passengers,2017,2,99.13
Airline Passengers,2017,3,101.74
Airline Passengers,2017,4,99.92
Airline Passengers,2017,5,100.4
Airline Passengers,2017,6,102.8
Airline Passengers,2017,7,102.17
Airline Passengers,2017,8,107
Airline Passengers,2017,9,102.61
Airline Passengers,2017,10,105.29
Airline Passengers,2017,11,105.42
Airline Passengers,2017,12,104.24
Airline Passengers,2018,1,106.75
Airline Passengers,2018,2,106.07
Airline Passengers,2018,3,107.65
Airline Passengers,2018,4,109.52
Airline Passengers,2018,5,111.23
Exchange Rate for the U.S. Dollars,2001,1,85.1
Exchange Rate for the U.S. Dollars,2001,2,84.62
Exchange Rate for the U.S. Dollars,2001,3,83.26
Exchange Rate for the U.S. Dollars,2001,4,82.62
Exchange Rate for the U.S. Dollars,2001,5,82.71
Exchange Rate for the U.S. Dollars,2001,6,82.16
Exchange Rate for the U.S. Dollars,2001,7,81.89
Exchange Rate for the U.S. Dollars,2001,8,83.26
Exchange Rate for the U.S. Dollars,2001,9,83.02
Exchange Rate for the U.S. Dollars,2001,10,82.47
Exchange Rate for the U.S. Dollars,2001,11,82.13
Exchange Rate for the U.S. Dollars,2001,12,82.08
Exchange Rate for the U.S. Dollars,2002,1,81.07
Exchange Rate for the U.S. Dollars,2002,2,80.61
Exchange Rate for the U.S. Dollars,2002,3,81.08
Exchange Rate for the U.S. Dollars,2002,4,81.32
Exchange Rate for the U.S. Dollars,2002,5,82.31
Exchange Rate for the U.S. Dollars,2002,6,83.26
Exchange Rate for the U.S. Dollars,2002,7,84.44
Exchange Rate for the U.S. Dollars,2002,8,83.48
Exchange Rate for the U.S. Dollars,2002,9,82.87
Exchange Rate for the U.S. Dollars,2002,10,82.27
Exchange Rate for the U.S. Dollars,2002,11,83.11
Exchange Rate for the U.S. Dollars,2002,12,83.55
Exchange Rate for the U.S. Dollars,2003,1,84.59
Exchange Rate for the U.S. Dollars,2003,2,84.7
Exchange Rate for the U.S. Dollars,2003,3,85.02
Exchange Rate for the U.S. Dollars,2003,4,85.7
Exchange Rate for the U.S. Dollars,2003,5,88.59
Exchange Rate for the U.S. Dollars,2003,6,89.07
Exchange Rate for the U.S. Dollars,2003,7,88.16
Exchange Rate for the U.S. Dollars,2003,8,87.2
Exchange Rate for the U.S. Dollars,2003,9,88.18
Exchange Rate for the U.S. Dollars,2003,10,89.96
Exchange Rate for the U.S. Dollars,2003,11,90.06
Exchange Rate for the U.S. Dollars,2003,12,91.3
Exchange Rate for the U.S. Dollars,2004,1,92.84
Exchange Rate for the U.S. Dollars,2004,2,92.4
Exchange Rate for the U.S. Dollars,2004,3,91.5
Exchange Rate for the U.S. Dollars,2004,4,90.85
Exchange Rate for the U.S. Dollars,2004,5,89.4
Exchange Rate for the U.S. Dollars,2004,6,90.26
Exchange Rate for the U.S. Dollars,2004,7,90.89
Exchange Rate for the U.S. Dollars,2004,8,90.76
Exchange Rate for the U.S. Dollars,2004,9,91.14
Exchange Rate for the U.S. Dollars,2004,10,92.43
Exchange Rate for the U.S. Dollars,2004,11,94.84
Exchange Rate for the U.S. Dollars,2004,12,95.91
Exchange Rate for the U.S. Dollars,2005,1,95.41
Exchange Rate for the U.S. Dollars,2005,2,95.22
Exchange Rate for the U.S. Dollars,2005,3,95.74
Exchange Rate for the U.S. Dollars,2005,4,94.94
Exchange Rate for the U.S. Dollars,2005,5,94.53
Exchange Rate for the U.S. Dollars,2005,6,93.61
Exchange Rate for the U.S. Dollars,2005,7,93.25
Exchange Rate for the U.S. Dollars,2005,8,94.46
Exchange Rate for the U.S. Dollars,2005,9,94.53
Exchange Rate for the U.S. Dollars,2005,10,93.65
Exchange Rate for the U.S. Dollars,2005,11,93.01
Exchange Rate for the U.S. Dollars,2005,12,93.6
Exchange Rate for the U.S. Dollars,2006,1,94.9
Exchange Rate for the U.S. Dollars,2006,2,94.69
Exchange Rate for the U.S. Dollars,2006,3,94.55
Exchange Rate for the U.S. Dollars,2006,4,95.21
Exchange Rate for the U.S. Dollars,2006,5,97.2
Exchange Rate for the U.S. Dollars,2006,6,96.06
Exchange Rate for the U.S. Dollars,2006,7,96.3
Exchange Rate for the U.S. Dollars,2006,8,96.94
Exchange Rate for the U.S. Dollars,2006,9,96.7
Exchange Rate for the U.S. Dollars,2006,10,96.46
Exchange Rate for the U.S. Dollars,2006,11,97.25
Exchange Rate for the U.S. Dollars,2006,12,98
Exchange Rate for the U.S. Dollars,2007,1,97.07
Exchange Rate for the U.S. Dollars,2007,2,97.4
Exchange Rate for the U.S. Dollars,2007,3,97.9
Exchange Rate for the U.S. Dollars,2007,4,99.15
Exchange Rate for the U.S. Dollars,2007,5,100
Exchange Rate for the U.S. Dollars,2007,6,100.25
Exchange Rate for the U.S. Dollars,2007,7,101.55
Exchange Rate for the U.S. Dollars,2007,8,100.99
Exchange Rate for the U.S. Dollars,2007,9,102.34
Exchange Rate for the U.S. Dollars,2007,10,104.46
Exchange Rate for the U.S. Dollars,2007,11,105.96
Exchange Rate for the U.S. Dollars,2007,12,105.09
Exchange Rate for the U.S. Dollars,2008,1,105.98
